date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,,Actual Sell,pl,,
11/09/25,SWELECTES,Smallcap,Industrials,919.95,785.10,11,10119.45,8636.10,-1483.35,,,,,,
22/07/25,SWIGGY,Largecap,I.T,418.00,393.10,24,10032.00,9434.40,-597.60,,,,,,
20/05/25,TALBROAUTO,Smallcap,Auto,292.01,280.05,34,9928.29,9521.70,-406.59,,,,,,
19/09/25,TANLA,Midcap,I.T,742.67,610.55,13,9654.71,7937.15,-1717.56,,,,,,
05/08/25,TANLA,Midcap,I.T,658.50,610.55,15,9877.51,9158.25,-719.26,,,,,,
12/06/25,TANLA,Midcap,I.T,657.51,610.55,15,9862.66,9158.25,-704.41,,,,,,
26/05/25,TARSONS,Smallcap,Healthcare,444.00,239.70,23,10212.00,5513.10,-4698.90,,,,,,
29/07/25,TATACHEM,Largecap,Chemicals,1000.00,832.75,10,10000.00,8327.50,-1672.50,,,,,,
30/09/25,TATAINVEST,Smallcap,Financials,1066.00,779.20,9,9594.00,7012.80,-2581.20,,,,,,
24/09/25,TATAINVEST,Smallcap,Financials,873.00,779.20,11,9603.00,8571.20,-1031.80,,,,,,
23/09/25,TATAINVEST,Smallcap,Financials,825.00,779.20,12,9900.00,9350.40,-549.60,,,,,,
03/09/25,TBOTEK,Midcap,I.T,1615.00,1572.40,6,9690.00,9434.40,-255.60,,,,,,
04/11/25,TBOTEK,Midcap,I.T,1589.00,1572.40,6,9534.00,9434.40,-99.60,,,,,,
22/04/25,TBZ,Smallcap,Consumer Discretionary,218.35,190.27,46,10044.14,8752.42,-1291.72,,,,,,
05/08/25,TBZ,Smallcap,Consumer Discretionary,211.93,190.27,47,9960.66,8942.69,-1017.97,,,,,,
10/07/25,TCI,Midcap,Transportation,1264.80,1119.90,8,10118.40,8959.20,-1159.20,,,,,,
03/06/25,TCIEXP,Smallcap,Transportation,808.83,614.30,12,9706.01,7371.60,-2334.41,,,,,,
03/11/25,TDPOWERSYS,Midcap,Industrials,805.07,785.70,12,9660.80,9428.40,-232.40,,,,,,
