date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,
04/11/25,APLLTD,Midcap,Healthcare,960.70,904.05,10,9607.00,9040.50,-566.50,,
24/03/25,GUJALKALI,Smallcap,Chemicals,589.46,553.50,17,10020.75,9409.50,-611.25,,
24/07/25,JBMA,Midcap,Auto,675.10,633.40,15,10126.46,9501.00,-625.46,,
01/10/25,DCMSRIND,Smallcap,FMCG,171.02,160.20,58,9919.16,9291.60,-627.56,,
18/09/25,NELCO,Smallcap,Telecom,912.00,854.40,11,10032.00,9398.40,-633.60,,
01/04/25,ATULAUTO,Smallcap,Auto,497.95,466.25,20,9959.00,9325.00,-634.00,,
28/10/25,TTKPRESTIG,Midcap,Consumer Discretionary,709.00,663.55,14,9926.00,9289.70,-636.30,,
13/10/25,KFINTECH,Midcap,Financials,1154.90,1084.10,9,10394.10,9756.90,-637.20,,
29/08/25,JINDALPOLY,Smallcap,Textiles,593.10,555.10,17,10082.75,9436.70,-646.05,,
14/08/25,PFIZER,Largecap,Healthcare,5400.00,5074.00,2,10800.00,10148.00,-652.00,,
30/10/25,GRINDWELL,Midcap,Industrials,1696.00,1586.10,6,10176.00,9516.60,-659.40,,
17/09/25,IRMENERGY,Smallcap,Energy,338.00,316.00,30,10140.00,9480.00,-660.00,,
11/09/25,GREENPLY,Smallcap,Building Materials,319.00,297.70,31,9889.00,9228.70,-660.30,,
08/07/25,WEL,Smallcap,Consumer Discretionary,173.86,162.40,58,10084.02,9419.20,-664.82,,
04/09/25,ATULAUTO,Smallcap,Auto,500.00,466.25,20,10000.00,9325.00,-675.00,,
07/07/25,HNDFDS,Midcap,FMCG,581.00,540.55,17,9877.00,9189.35,-687.65,,
28/10/25,SPARC,Smallcap,Healthcare,142.00,132.07,70,9940.00,9244.90,-695.10,,
24/10/25,JGCHEM,Smallcap,Chemicals,445.00,413.05,22,9790.00,9087.10,-702.90,,
17/09/25,DCMSHRIRAM,Midcap,Miscellaneous,1324.37,1236.40,8,10594.95,9891.20,-703.75,,
11/09/25,SIGACHI,Smallcap,Healthcare,38.31,35.58,261,9999.55,9286.38,-713.17,,
30/07/25,PGHH,Largecap,FMCG,13751.52,13036.00,1,13751.52,13036.00,-715.52,,
01/10/25,GREENPANEL,Smallcap,Building Materials,293.50,272.00,34,9979.00,9248.00,-731.00,,
07/07/25,SENCO,Midcap,Consumer Discretionary,361.04,334.85,28,10109.04,9375.80,-733.24,,
03/10/25,KALAMANDIR,Smallcap,Consumer Discretionary,181.91,168.50,55,10005.05,9267.50,-737.55,,
17/10/25,KALPATARU,Midcap,Realty,397.70,368.15,25,9942.50,9203.75,-738.75,,
06/06/25,WEALTH,Smallcap,Financials,1134.51,1051.80,9,10210.60,9466.20,-744.40,,
13/08/25,EIHOTEL,Largecap,Services,408.25,377.10,24,9798.00,9050.40,-747.60,,
09/05/25,CERA,Midcap,Building Materials,5992.80,5617.00,2,11985.60,11234.00,-751.60,,
02/09/25,GREAVESCOT,Smallcap,Industrials,227.90,210.73,44,10027.60,9272.12,-755.48,,
07/07/25,GODREJCP,Largecap,FMCG,1241.84,1146.50,8,9934.73,9172.00,-762.73,,
10/06/25,CEIGALL,Smallcap,Realty,266.99,246.35,37,9878.63,9114.95,-763.68,,
14/07/25,DDEVPLSTIK,Smallcap,Chemicals,297.30,274.50,34,10108.35,9333.00,-775.35,,
03/09/25,SCILAL,Smallcap,Services,53.96,49.74,185,9982.60,9201.90,-780.70,,
28/10/25,DEEPAKFERT,Midcap,Chemicals,1525.00,1411.60,7,10675.00,9881.20,-793.80,,
16/07/25,GREENPLY,Smallcap,Building Materials,323.39,297.70,31,10025.04,9228.70,-796.34,,
16/10/25,SHAREINDIA,Smallcap,Financials,183.99,169.23,54,9935.46,9138.42,-797.04,,
10/11/25,GALLANTT,Midcap,Metals & Mining,650.00,596.85,15,9750.00,8952.75,-797.25,,
19/09/25,ROSSARI,Smallcap,Chemicals,683.90,629.95,15,10258.50,9449.25,-809.25,,
16/06/25,MATRIMONY,Smallcap,Miscellaneous,547.85,502.85,18,9861.29,9051.30,-809.99,,
01/07/25,BLUEDART,Midcap,Transportation,6815.96,5995.00,1,6815.96,5995.00,-820.96,,
14/10/25,FOSECOIND,Smallcap,Chemicals,5847.00,5435.00,2,11694.00,10870.00,-824.00,,
10/11/25,LAXMIDENTL,Smallcap,Healthcare,340.00,311.05,29,9860.00,9020.45,-839.55,,
18/08/25,RELAXO,Midcap,Consumer Discretionary,466.35,426.15,21,9793.28,8949.15,-844.13,,
09/06/25,BANARISUG,Smallcap,FMCG,4028.17,3603.10,2,8056.35,7206.20,-850.15,,
25/03/25,BLUEDART,Midcap,Transportation,6425.16,5995.00,2,12850.31,11990.00,-860.31,,
01/09/25,MICEL,Smallcap,Consumer Discretionary,52.30,47.79,191,9989.30,9127.89,-861.41,,
17/10/25,WHIRLPOOL,Midcap,Consumer Discretionary,1369.90,1245.00,7,9589.30,8715.00,-874.30,,
27/06/25,ATGL,Largecap,Energy,684.00,625.15,15,10260.00,9377.25,-882.75,,
13/08/25,GODREJIND,Largecap,Chemicals,1162.10,1063.70,9,10458.90,9573.30,-885.60,,
24/10/25,PFS,Smallcap,Financials,39.60,36.04,253,10018.80,9118.12,-900.68,,
06/10/25,ABLBL,Midcap,Consumer Discretionary,148.00,134.47,68,10064.00,9143.96,-920.04,,
30/04/25,SONATSOFTW,Midcap,I.T,413.23,374.15,24,9917.53,8979.60,-937.93,,
25/03/25,SALASAR,Smallcap,Metals & Mining,10.55,9.54,948,10001.40,9043.92,-957.48,,
01/10/25,DSSL,Smallcap,I.T,1045.95,950.10,10,10459.50,9501.00,-958.50,,
